Time,bid,ask
0.000000000000000000e+00,4.005000000000000000e+03,4.006000000000000000e+03
1.000000003841705620e-03,4.004000000000000000e+03,4.007000000000000000e+03
1.421000000002095476e+00,4.003000000000000000e+03,4.004000000000000000e+03
1.421000000002095476e+00,4.002000000000000000e+03,4.005000000000000000e+03
2.927999999999883585e+00,4.004000000000000000e+03,4.005000000000000000e+03
2.927999999999883585e+00,4.003000000000000000e+03,4.006000000000000000e+03
4.421000000002095476e+00,4.004000000000000000e+03,4.005000000000000000e+03
4.421000000002095476e+00,4.003000000000000000e+03,4.006000000000000000e+03
5.672000000005937181e+00,4.004000000000000000e+03,4.005000000000000000e+03
5.672000000005937181e+00,4.003000000000000000e+03,4.006000000000000000e+03
7.172000000005937181e+00,4.005000000000000000e+03,4.006000000000000000e+03
7.172000000005937181e+00,4.004000000000000000e+03,4.007000000000000000e+03
8.671000000002095476e+00,4.004000000000000000e+03,4.007000000000000000e+03
8.671000000002095476e+00,4.005000000000000000e+03,4.006000000000000000e+03
1.017100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
1.017100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
1.167100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
1.167100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
1.292200000000593718e+01,4.005000000000000000e+03,4.006000000000000000e+03
1.292200000000593718e+01,4.004000000000000000e+03,4.007000000000000000e+03
1.442100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
1.442100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
1.592100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
1.592100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
1.717100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
1.717100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
1.867100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
1.867100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
1.992200000000593718e+01,4.005000000000000000e+03,4.007000000000000000e+03
1.992200000000593718e+01,4.004000000000000000e+03,4.008000000000000000e+03
2.142100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
2.142100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
2.292100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
2.292100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
2.417100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
2.417100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
2.542200000000593718e+01,4.005000000000000000e+03,4.006000000000000000e+03
2.542200000000593718e+01,4.004000000000000000e+03,4.007000000000000000e+03
2.692100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
2.692100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
2.842100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
2.842100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
2.992100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
2.992100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
3.117299999999522697e+01,4.005000000000000000e+03,4.006000000000000000e+03
3.117299999999522697e+01,4.004000000000000000e+03,4.007000000000000000e+03
3.267100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
3.267200000000593718e+01,4.004000000000000000e+03,4.007000000000000000e+03
3.417200000000593718e+01,4.005000000000000000e+03,4.006000000000000000e+03
3.417200000000593718e+01,4.004000000000000000e+03,4.007000000000000000e+03
3.567100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
3.567100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
3.692100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
3.692100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
3.817100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
3.817100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
3.942100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
3.942100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
4.067100000000209548e+01,4.005000000000000000e+03,4.006000000000000000e+03
4.067100000000209548e+01,4.004000000000000000e+03,4.007000000000000000e+03
