2020-03-12 13:47:47,788 [INFO   ] [APP] autotrader started with arguments={run.py}
2020-03-12 13:47:47,789 [INFO   ] [APP] configuration={"Execution":{"Host":"127.0.0.1","Port":12345},"Information":{"AllowBroadcast":false,"Interface":"0.0.0.0","ListenAddress":"239.255.1.1","Port":12346},"TeamName":"TraderOne","Secret":"12345"}
2020-03-12 13:47:52,346 [INFO   ] [TRADER] Placing quotes (1, 2). Bid: 40 @ $3409, Ask: 40 @ $3411
2020-03-12 13:47:52,346 [INFO   ] [TRADER] Placing quotes (3, 4). Bid: 10 @ $3408, Ask: 10 @ $3412
2020-03-12 13:47:52,348 [INFO   ] [TRADER] Order 1 inserted
2020-03-12 13:47:52,349 [INFO   ] [TRADER] Order 2 inserted
2020-03-12 13:47:52,349 [INFO   ] [TRADER] Order 3 inserted
2020-03-12 13:47:52,349 [INFO   ] [TRADER] Order 4 inserted
2020-03-12 13:47:53,542 [INFO   ] [TRADER] Timeout
2020-03-12 13:47:53,542 [INFO   ] [TRADER] Cancelling bid 1
2020-03-12 13:47:53,542 [INFO   ] [TRADER] Cancelling bid 3
2020-03-12 13:47:53,543 [INFO   ] [TRADER] Cancelling bid 2
2020-03-12 13:47:53,543 [INFO   ] [TRADER] Cancelling bid 4
2020-03-12 13:47:53,544 [INFO   ] [TRADER] Order 1 cancelled
2020-03-12 13:47:53,544 [INFO   ] [TRADER] Order 3 cancelled
2020-03-12 13:47:53,545 [INFO   ] [TRADER] Order 2 cancelled
2020-03-12 13:47:53,545 [INFO   ] [TRADER] Order 4 cancelled
2020-03-12 13:47:53,791 [INFO   ] [TRADER] Placing quotes (5, 6). Bid: 40 @ $3409, Ask: 40 @ $3410
2020-03-12 13:47:53,791 [INFO   ] [TRADER] Placing quotes (7, 8). Bid: 10 @ $3408, Ask: 10 @ $3411
2020-03-12 13:47:53,791 [INFO   ] [TRADER] Order 5 inserted
2020-03-12 13:47:53,791 [INFO   ] [TRADER] Order 6 inserted
2020-03-12 13:47:53,792 [INFO   ] [TRADER] Order 7 inserted
2020-03-12 13:47:53,792 [INFO   ] [TRADER] Order 8 inserted
2020-03-12 13:47:54,040 [INFO   ] [TRADER] Order 6 filled (1 / 40)
2020-03-12 13:47:54,040 [INFO   ] [TRADER] Position changed to ETF: -1, FUTURE: 1
2020-03-12 13:47:54,289 [INFO   ] [TRADER] Order 6 filled (14 / 40)
2020-03-12 13:47:54,290 [INFO   ] [TRADER] Position changed to ETF: -14, FUTURE: 14
2020-03-12 13:47:54,540 [INFO   ] [TRADER] Order 6 filled (23 / 40)
2020-03-12 13:47:54,540 [INFO   ] [TRADER] Position changed to ETF: -23, FUTURE: 23
2020-03-12 13:47:54,790 [INFO   ] [TRADER] Order 6 filled (31 / 40)
2020-03-12 13:47:54,790 [INFO   ] [TRADER] Position changed to ETF: -31, FUTURE: 31
2020-03-12 13:47:54,791 [INFO   ] [TRADER] Order 6 filled (36 / 40)
2020-03-12 13:47:54,791 [INFO   ] [TRADER] Position changed to ETF: -36, FUTURE: 36
2020-03-12 13:47:54,792 [INFO   ] [TRADER] Order 6 filled (37 / 40)
2020-03-12 13:47:54,793 [INFO   ] [TRADER] Position changed to ETF: -37, FUTURE: 37
2020-03-12 13:47:54,793 [INFO   ] [TRADER] Timeout
2020-03-12 13:47:54,793 [INFO   ] [TRADER] Cancelling bid 5
2020-03-12 13:47:54,794 [INFO   ] [TRADER] Cancelling bid 7
2020-03-12 13:47:54,794 [INFO   ] [TRADER] Cancelling bid 6
2020-03-12 13:47:54,794 [INFO   ] [TRADER] Cancelling bid 8
2020-03-12 13:47:54,796 [INFO   ] [TRADER] Order 5 cancelled
2020-03-12 13:47:54,797 [INFO   ] [TRADER] Order 7 cancelled
2020-03-12 13:47:54,797 [INFO   ] [TRADER] Order 6 cancelled
2020-03-12 13:47:54,797 [INFO   ] [TRADER] Order 8 cancelled
2020-03-12 13:47:55,039 [INFO   ] [TRADER] Placing quotes (9, 10). Bid: 40 @ $3409, Ask: 32 @ $3410
2020-03-12 13:47:55,039 [INFO   ] [TRADER] Placing quotes (11, 12). Bid: 10 @ $3408, Ask: 8 @ $3411
2020-03-12 13:47:55,039 [INFO   ] [TRADER] Order 9 inserted
2020-03-12 13:47:55,039 [INFO   ] [TRADER] Order 10 inserted
2020-03-12 13:47:55,039 [INFO   ] [TRADER] Order 11 inserted
2020-03-12 13:47:55,039 [INFO   ] [TRADER] Order 12 inserted
2020-03-12 13:47:56,042 [INFO   ] [TRADER] Timeout
2020-03-12 13:47:56,042 [INFO   ] [TRADER] Cancelling bid 9
2020-03-12 13:47:56,042 [INFO   ] [TRADER] Cancelling bid 11
2020-03-12 13:47:56,042 [INFO   ] [TRADER] Cancelling bid 10
2020-03-12 13:47:56,042 [INFO   ] [TRADER] Cancelling bid 12
2020-03-12 13:47:56,044 [INFO   ] [TRADER] Order 9 cancelled
2020-03-12 13:47:56,045 [INFO   ] [TRADER] Order 11 cancelled
2020-03-12 13:47:56,045 [INFO   ] [TRADER] Order 10 cancelled
2020-03-12 13:47:56,045 [INFO   ] [TRADER] Order 12 cancelled
