2020-03-17 16:50:12,994 [INFO   ] [APP] susum started with arguments={run.py}
2020-03-17 16:50:12,995 [INFO   ] [APP] configuration={"Execution":{"Host":"127.0.0.1","Port":12345},"Information":{"AllowBroadcast":false,"Interface":"0.0.0.0","ListenAddress":"239.255.1.1","Port":12346},"TeamName":"SusumBot","Secret":"12345"}
2020-03-17 16:50:17,561 [INFO   ] [TRADER] Placing quotes (1, 2). Bid: 40 @ $4005, Ask: 40 @ $4006
2020-03-17 16:50:17,562 [INFO   ] [TRADER] Placing quotes (3, 4). Bid: 10 @ $4004, Ask: 10 @ $4007
2020-03-17 16:50:17,569 [INFO   ] [TRADER] Order 1 inserted
2020-03-17 16:50:17,569 [INFO   ] [TRADER] Order 2 inserted
2020-03-17 16:50:17,570 [INFO   ] [TRADER] Order 3 inserted
2020-03-17 16:50:17,570 [INFO   ] [TRADER] Order 4 inserted
2020-03-17 16:50:17,588 [INFO   ] [TRADER] Order 2 filled (4 / 40)
2020-03-17 16:50:17,589 [INFO   ] [TRADER] Position changed to ETF: -4, FUTURE: 4
2020-03-17 16:50:17,601 [INFO   ] [TRADER] Order 2 filled (5 / 40)
2020-03-17 16:50:17,601 [INFO   ] [TRADER] Position changed to ETF: -5, FUTURE: 5
2020-03-17 16:50:17,602 [INFO   ] [TRADER] Order 2 filled (7 / 40)
2020-03-17 16:50:17,602 [INFO   ] [TRADER] Position changed to ETF: -7, FUTURE: 7
2020-03-17 16:50:17,613 [INFO   ] [TRADER] Timeout
2020-03-17 16:50:17,614 [INFO   ] [TRADER] Cancelling bid 1
2020-03-17 16:50:17,614 [INFO   ] [TRADER] Cancelling bid 3
2020-03-17 16:50:17,614 [INFO   ] [TRADER] Cancelling bid 2
2020-03-17 16:50:17,614 [INFO   ] [TRADER] Cancelling bid 4
2020-03-17 16:50:17,614 [INFO   ] [TRADER] Order 1 cancelled
2020-03-17 16:50:17,614 [INFO   ] [TRADER] Order 3 cancelled
2020-03-17 16:50:17,614 [INFO   ] [TRADER] Order 2 cancelled
2020-03-17 16:50:17,614 [INFO   ] [TRADER] Order 4 cancelled
2020-03-17 16:50:17,628 [INFO   ] [TRADER] Placing quotes (5, 6). Bid: 40 @ $4004, Ask: 38 @ $4005
2020-03-17 16:50:17,628 [INFO   ] [TRADER] Placing quotes (7, 8). Bid: 10 @ $4003, Ask: 9 @ $4006
2020-03-17 16:50:17,631 [INFO   ] [TRADER] Order 5 inserted
2020-03-17 16:50:17,632 [INFO   ] [TRADER] Order 6 filled (18 / 38)
2020-03-17 16:50:17,632 [INFO   ] [TRADER] Position changed to ETF: -25, FUTURE: 25
2020-03-17 16:50:17,632 [INFO   ] [TRADER] Order 7 inserted
2020-03-17 16:50:17,632 [INFO   ] [TRADER] Order 8 inserted
2020-03-17 16:50:17,632 [INFO   ] [TRADER] Order 6 cancelled
2020-03-17 16:50:17,632 [INFO   ] [TRADER] Position changed to ETF: -45, FUTURE: 45
2020-03-17 16:50:17,690 [INFO   ] [TRADER] Timeout
2020-03-17 16:50:17,690 [INFO   ] [TRADER] Cancelling bid 5
2020-03-17 16:50:17,690 [INFO   ] [TRADER] Cancelling bid 7
2020-03-17 16:50:17,690 [INFO   ] [TRADER] Cancelling bid 8
2020-03-17 16:50:17,691 [INFO   ] [TRADER] Order 5 cancelled
2020-03-17 16:50:17,691 [INFO   ] [TRADER] Order 7 cancelled
2020-03-17 16:50:17,691 [INFO   ] [TRADER] Order 8 cancelled
2020-03-17 16:50:17,704 [INFO   ] [TRADER] Placing quotes (9, 10). Bid: 40 @ $4004, Ask: 31 @ $4005
2020-03-17 16:50:17,704 [INFO   ] [TRADER] Placing quotes (11, 12). Bid: 10 @ $4003, Ask: 7 @ $4006
2020-03-17 16:50:17,705 [INFO   ] [TRADER] Order 9 inserted
2020-03-17 16:50:17,706 [INFO   ] [TRADER] Order 10 inserted
2020-03-17 16:50:17,706 [INFO   ] [TRADER] Order 11 inserted
2020-03-17 16:50:17,707 [INFO   ] [TRADER] Order 12 inserted
2020-03-17 16:50:17,766 [INFO   ] [TRADER] Timeout
2020-03-17 16:50:17,766 [INFO   ] [TRADER] Cancelling bid 9
2020-03-17 16:50:17,766 [INFO   ] [TRADER] Cancelling bid 11
2020-03-17 16:50:17,767 [INFO   ] [TRADER] Cancelling bid 10
2020-03-17 16:50:17,767 [INFO   ] [TRADER] Cancelling bid 12
2020-03-17 16:50:17,767 [INFO   ] [TRADER] Order 9 cancelled
2020-03-17 16:50:17,768 [INFO   ] [TRADER] Order 11 cancelled
2020-03-17 16:50:17,769 [INFO   ] [TRADER] Order 10 cancelled
2020-03-17 16:50:17,770 [INFO   ] [TRADER] Order 12 cancelled
2020-03-17 16:50:17,778 [INFO   ] [TRADER] Placing quotes (13, 14). Bid: 40 @ $4005, Ask: 31 @ $4006
2020-03-17 16:50:17,778 [INFO   ] [TRADER] Placing quotes (15, 16). Bid: 10 @ $4004, Ask: 7 @ $4007
2020-03-17 16:50:17,780 [INFO   ] [TRADER] Order 13 cancelled
2020-03-17 16:50:17,781 [INFO   ] [TRADER] Position changed to ETF: -5, FUTURE: 5
2020-03-17 16:50:17,781 [INFO   ] [TRADER] Order 14 inserted
2020-03-17 16:50:17,781 [INFO   ] [TRADER] Order 15 inserted
2020-03-17 16:50:17,782 [INFO   ] [TRADER] Order 16 inserted
2020-03-17 16:50:17,783 [INFO   ] [TRADER] Order 15 filled (1 / 10)
2020-03-17 16:50:17,784 [INFO   ] [TRADER] Position changed to ETF: -4, FUTURE: 4
2020-03-17 16:50:17,786 [INFO   ] [TRADER] Order 15 filled (3 / 10)
2020-03-17 16:50:17,787 [INFO   ] [TRADER] Position changed to ETF: -2, FUTURE: 2
2020-03-17 16:50:17,839 [INFO   ] [TRADER] Order 15 cancelled
