Time,Competitor,Operation,OrderId,Side,Volume,Price,Lifespan,Fee,FuturePrice,EtfPrice,AccountBalance,FuturePosition,EtfPosition,ProfitLoss,TotalFees,MaxDrawdown,BuyVolume,SellVolume
0.000401,DynamicInventory,Tick,,,,,,0.00,3429.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.000401,SusumBot,Tick,,,,,,0.00,3429.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.000401,AlecBotV2,Tick,,,,,,0.00,3429.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.000401,FusionBot,Tick,,,,,,0.00,3429.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.854468,DynamicInventory,Insert,1,B,50,3428.00,GFD,0.00,3428.00,3432.00,0.00,0,0,0.00,0.00,0.00,0,0
0.854468,DynamicInventory,Fill,1,B,-9,3427.00,GFD,6.17,3428.00,3427.00,-30849.17,0,9,-6.17,6.17,6.17,9,0
0.854468,DynamicInventory,Hedge,,S,9,3427.50,,0.00,3428.00,3427.00,-1.67,-9,9,-10.67,6.17,10.67,9,0
0.875457,DynamicInventory,Fill,1,B,-5,3428.00,GFD,-1.71,3428.00,3428.00,-17139.96,-9,14,0.04,4.46,10.67,14,0
0.875457,DynamicInventory,Hedge,,S,5,3427.50,,0.00,3428.00,3428.00,-2.46,-14,14,-2.46,4.46,10.67,14,0
0.934629,DynamicInventory,Insert,2,S,50,3429.00,GFD,0.00,3428.00,3428.00,-2.46,-14,14,-2.46,4.46,10.67,14,0
0.949465,SusumBot,Insert,1,B,40,3428.00,GFD,0.00,3428.00,3428.00,0.00,0,0,0.00,0.00,0.00,0,0
0.951109,SusumBot,Insert,2,S,40,3429.00,GFD,0.00,3428.00,3428.00,0.00,0,0,0.00,0.00,0.00,0,0
0.955659,SusumBot,Insert,3,B,10,3427.00,GFD,0.00,3428.00,3428.00,0.00,0,0,0.00,0.00,0.00,0,0
0.959440,SusumBot,Insert,4,S,10,3430.00,GFD,0.00,3428.00,3428.00,0.00,0,0,0.00,0.00,0.00,0,0
