Time,Competitor,Operation,OrderId,Side,Volume,Price,Lifespan,Fee,FuturePrice,EtfPrice,AccountBalance,FuturePosition,EtfPosition,ProfitLoss,TotalFees,MaxDrawdown,BuyVolume,SellVolume
0.000677,LilAkuma,Tick,,,,,,0.00,3531.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.000677,SusumBot,Tick,,,,,,0.00,3531.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.000677,NowUCMe,Tick,,,,,,0.00,3531.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.000677,Tradies,Tick,,,,,,0.00,3531.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.000677,TeamJ,Tick,,,,,,0.00,3531.00,,0.00,0,0,0.00,0.00,0.00,0,0
1.796244,LilAkuma,Insert,1,B,1,3530.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.893528,LilAkuma,Insert,2,B,2,3529.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.913380,LilAkuma,Insert,3,B,3,3528.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.917271,LilAkuma,Insert,4,S,1,3533.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.923712,LilAkuma,Insert,5,S,2,3534.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.928494,LilAkuma,Insert,6,S,3,3535.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.935097,NowUCMe,Insert,1,B,95,3531.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.940333,NowUCMe,Insert,2,S,95,3532.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.947126,SusumBot,Insert,1,B,40,3531.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.952496,SusumBot,Insert,2,S,40,3532.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.957856,SusumBot,Insert,3,B,10,3530.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.963240,SusumBot,Insert,4,S,10,3533.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.967721,LilAkuma,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.967721,SusumBot,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.967721,NowUCMe,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.967721,Tradies,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.967721,TeamJ,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.990131,LilAkuma,Cancel,1,B,-1,3530.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
1.997566,LilAkuma,Cancel,2,B,-2,3529.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.003487,LilAkuma,Cancel,3,B,-3,3528.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.005625,LilAkuma,Insert,7,B,1,3527.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.009332,LilAkuma,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.009332,SusumBot,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.009332,NowUCMe,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.009332,Tradies,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.009332,TeamJ,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.021088,LilAkuma,Insert,8,B,2,3526.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.025240,LilAkuma,Insert,9,B,3,3525.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.029072,LilAkuma,Cancel,4,S,-1,3533.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.030581,LilAkuma,Cancel,5,S,-2,3534.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.033886,LilAkuma,Cancel,6,S,-3,3535.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.036956,LilAkuma,Insert,10,S,1,3530.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.036956,NowUCMe,Fill,1,B,-1,3531.00,GFD,-0.35,3528.00,3531.00,-3530.65,0,1,0.35,-0.35,0.00,1,0
2.036956,NowUCMe,Hedge,,S,1,3528.50,,0.00,3528.00,3531.00,-2.15,-1,1,0.85,-0.35,0.00,1,0
2.036956,LilAkuma,Fill,10,S,-1,3531.00,GFD,0.71,3528.00,3531.00,3530.29,0,-1,-0.71,0.71,0.71,0,1
2.036956,LilAkuma,Hedge,,B,1,3528.50,,0.00,3528.00,3531.00,1.79,1,-1,-1.21,0.71,1.21,0,1
2.054398,LilAkuma,Insert,11,S,2,3531.00,GFD,0.00,3528.00,3531.00,1.79,1,-1,-1.21,0.71,1.21,0,1
2.054398,NowUCMe,Fill,1,B,-2,3531.00,GFD,-0.71,3528.00,3531.00,-7063.44,-1,3,1.56,-1.06,0.00,3,0
2.054398,NowUCMe,Hedge,,S,2,3528.50,,0.00,3528.00,3531.00,-6.44,-3,3,2.56,-1.06,0.00,3,0
2.054398,LilAkuma,Fill,11,S,-2,3531.00,GFD,1.41,3528.00,3531.00,7062.38,1,-3,-2.62,2.12,2.62,0,3
2.054398,LilAkuma,Hedge,,B,2,3528.50,,0.00,3528.00,3531.00,5.38,3,-3,-3.62,2.12,3.62,0,3
2.061322,LilAkuma,Insert,12,S,3,3532.00,GFD,0.00,3528.00,3531.00,5.38,3,-3,-3.62,2.12,3.62,0,3
2.064402,TeamJ,Insert,1,B,30,3528.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.072150,TeamJ,Insert,2,S,30,3532.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.155054,Tradies,Insert,1,B,30,3528.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.170178,Tradies,Insert,2,S,30,3532.00,GFD,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.258266,LilAkuma,Tick,,,,,,0.00,3528.00,3531.00,5.38,3,-3,-3.62,2.12,3.62,0,3
2.258266,SusumBot,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.258266,NowUCMe,Tick,,,,,,0.00,3528.00,3531.00,-6.44,-3,3,2.56,-1.06,0.00,3,0
2.258266,Tradies,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.258266,TeamJ,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.269010,NowUCMe,Cancel,2,S,-95,3532.00,GFD,0.00,3528.00,3531.00,-6.44,-3,3,2.56,-1.06,0.00,3,0
2.520608,LilAkuma,Tick,,,,,,0.00,3528.00,3531.00,5.38,3,-3,-3.62,2.12,3.62,0,3
2.520608,SusumBot,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.520608,NowUCMe,Tick,,,,,,0.00,3528.00,3531.00,-6.44,-3,3,2.56,-1.06,0.00,3,0
2.520608,Tradies,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.520608,TeamJ,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.577003,NowUCMe,Fill,1,B,-16,3531.00,GFD,-5.65,3528.00,3531.00,-56496.79,-3,19,8.21,-6.71,0.00,19,0
2.577003,NowUCMe,Hedge,,S,16,3528.50,,0.00,3528.00,3531.00,-40.79,-19,19,16.21,-6.71,0.00,19,0
2.756753,NowUCMe,Fill,1,B,-7,3531.00,GFD,-2.47,3528.00,3531.00,-24755.32,-19,26,18.68,-9.18,0.00,26,0
2.756753,NowUCMe,Hedge,,S,7,3528.50,,0.00,3528.00,3531.00,-55.82,-26,26,22.18,-9.18,0.00,26,0
2.758262,LilAkuma,Tick,,,,,,0.00,3528.00,3531.00,5.38,3,-3,-3.62,2.12,3.62,0,3
2.758262,SusumBot,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.758262,NowUCMe,Tick,,,,,,0.00,3528.00,3531.00,-55.82,-26,26,22.18,-9.18,0.00,26,0
2.758262,Tradies,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
2.758262,TeamJ,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
3.023733,LilAkuma,Tick,,,,,,0.00,3528.00,3531.00,5.38,3,-3,-3.62,2.12,3.62,0,3
3.023733,SusumBot,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
3.023733,NowUCMe,Tick,,,,,,0.00,3528.00,3531.00,-55.82,-26,26,22.18,-9.18,0.00,26,0
3.023733,Tradies,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
3.023733,TeamJ,Tick,,,,,,0.00,3528.00,3531.00,0.00,0,0,0.00,0.00,0.00,0,0
3.217459,SusumBot,Fill,2,S,-1,3532.00,GFD,-0.35,3528.00,3532.00,3532.35,0,-1,0.35,-0.35,0.00,0,1
3.217459,SusumBot,Hedge,,B,1,3528.50,,0.00,3528.00,3532.00,3.85,1,-1,-0.15,-0.35,0.50,0,1
3.256521,LilAkuma,Tick,,,,,,0.00,3528.00,3532.00,5.38,3,-3,-6.62,2.12,6.62,0,3
3.256521,SusumBot,Tick,,,,,,0.00,3528.00,3532.00,3.85,1,-1,-0.15,-0.35,0.50,0,1
3.256521,NowUCMe,Tick,,,,,,0.00,3528.00,3532.00,-55.82,-26,26,48.18,-9.18,0.00,26,0
3.256521,Tradies,Tick,,,,,,0.00,3528.00,3532.00,0.00,0,0,0.00,0.00,0.00,0,0
3.256521,TeamJ,Tick,,,,,,0.00,3528.00,3532.00,0.00,0,0,0.00,0.00,0.00,0,0
3.297536,NowUCMe,Fill,1,B,-17,3531.00,GFD,-6.00,3528.00,3531.00,-60076.82,-26,43,28.18,-15.18,20.00,43,0
3.297536,NowUCMe,Hedge,,S,17,3528.50,,0.00,3528.00,3531.00,-92.32,-43,43,36.68,-15.18,20.00,43,0
3.467970,NowUCMe,Fill,1,B,-1,3531.00,GFD,-0.35,3528.00,3531.00,-3622.97,-43,44,37.03,-15.53,20.00,44,0
3.467970,NowUCMe,Hedge,,S,1,3528.50,,0.00,3528.00,3531.00,-94.47,-44,44,37.53,-15.53,20.00,44,0
3.525652,LilAkuma,Tick,,,,,,0.00,3528.00,3531.00,5.38,3,-3,-3.62,2.12,6.62,0,3
