Time,Competitor,Operation,OrderId,Side,Volume,Price,Lifespan,Fee,FuturePrice,EtfPrice,AccountBalance,FuturePosition,EtfPosition,ProfitLoss,TotalFees,MaxDrawdown,BuyVolume,SellVolume
0.000034,DynamicInventory,Tick,,,,,,0.00,3550.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.000034,SusumBot,Tick,,,,,,0.00,3550.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.072078,DynamicInventory,Insert,1,B,50,3550.00,GFD,0.00,3550.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.074830,DynamicInventory,Insert,2,S,50,3551.00,GFD,0.00,3550.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.077349,SusumBot,Insert,1,B,40,3550.00,GFD,0.00,3550.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.077434,SusumBot,Insert,2,S,40,3551.00,GFD,0.00,3550.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.077488,SusumBot,Insert,3,B,10,3549.00,GFD,0.00,3550.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.077543,SusumBot,Insert,4,S,10,3552.00,GFD,0.00,3550.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.250910,DynamicInventory,Tick,,,,,,0.00,3553.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.250910,SusumBot,Tick,,,,,,0.00,3553.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.501255,DynamicInventory,Tick,,,,,,0.00,3553.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.501255,SusumBot,Tick,,,,,,0.00,3553.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.503988,DynamicInventory,Cancel,1,B,-50,3550.00,GFD,0.00,3553.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.504219,DynamicInventory,Cancel,2,S,-50,3551.00,GFD,0.00,3553.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.751021,DynamicInventory,Tick,,,,,,0.00,3553.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.751021,SusumBot,Tick,,,,,,0.00,3553.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.753516,DynamicInventory,Insert,3,B,50,3552.00,GFD,0.00,3553.00,,0.00,0,0,0.00,0.00,0.00,0,0
0.753516,SusumBot,Fill,2,S,-40,3551.00,GFD,-14.20,3553.00,3551.00,142054.20,0,-40,14.20,-14.20,0.00,0,40
0.753516,SusumBot,Hedge,,B,40,3552.50,,0.00,3553.00,3551.00,-45.80,40,-40,34.20,-14.20,0.00,0,40
0.753516,DynamicInventory,Fill,3,B,-40,3551.00,GFD,28.41,3553.00,3551.00,-142068.41,0,40,-28.41,28.41,28.41,40,0
0.753516,DynamicInventory,Hedge,,S,40,3552.50,,0.00,3553.00,3551.00,31.59,-40,40,-48.41,28.41,48.41,40,0
